Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-AUG-2025,25333.1,25335.2,25189,25257.95,405712342,32931.21
04-AUG-2025,25178.65,25342.55,25132.6,25330.2,436913469,30508.61
01-AUG-2025,25353.55,25385.05,25120.3,25149.6,454272196,35525.05
31-JUL-2025,25241.7,25560.5,25237.5,25380.5,591097633,41918.55
30-JUL-2025,25510.65,25520,25389.85,25476.05,464692905,34227.28
29-JUL-2025,25216.95,25468.1,25209.5,25443.65,468770096,35910.89
28-JUL-2025,25387.75,25510.1,25251.4,25285,447934830,33908.92
25-JUL-2025,25650.95,25650.95,25412.15,25442.1,486417548,35127.64
24-JUL-2025,25867.85,25874.05,25648.55,25701.9,632797895,37301.4
23-JUL-2025,25778.15,25857,25708.8,25846,524649006,34338.87
22-JUL-2025,25822.9,25832.2,25686.25,25703.9,757218891,43774.33
21-JUL-2025,25652.95,25765.25,25535.5,25745.35,463731236,34070.11
18-JUL-2025,25779.7,25809,25586.25,25623.5,484652384,35846.83
17-JUL-2025,25896,25902.8,25767.85,25776.45,403560008,34260.11
16-JUL-2025,25850.7,25906.15,25777.25,25872.2,473953674,33440.94
15-JUL-2025,25740.3,25891.2,25733.45,25849.15,418713064,32291.94
14-JUL-2025,25759.85,25764.9,25644.6,25724.15,460472889,34998.36
11-JUL-2025,25885.6,25947.1,25737.9,25760.8,443278993,36555.03
10-JUL-2025,26123.5,26136.9,25958.05,25971.35,429557892,31960.72
09-JUL-2025,26121.75,26159.55,26030.95,26084,457390034,31917.2
08-JUL-2025,26052.3,26149.5,26028.35,26126.05,381539205,31544.4
07-JUL-2025,26063.2,26106.7,26018.4,26074.55,386765915,26493.38
04-JUL-2025,26035.35,26075.05,25938.05,26066.65,368689034,28076.77
03-JUL-2025,26116.6,26173.6,25984.4,26003,503673946,35715.71
02-JUL-2025,26198.9,26223.2,25987.2,26068.05,524389644,37534.84
01-JUL-2025,26179.35,26209.9,26107.35,26156.1,487553115,35954.56
30-JUN-2025,26256.85,26265.15,26088.15,26139.5,515164923,37918.97
27-JUN-2025,26156.55,26239.95,26117.55,26223.6,891680543,66807.76
26-JUN-2025,25856.6,26137,25849.45,26121.1,666869363,51647.29
25-JUN-2025,25743.85,25839.25,25716.3,25822.35,456620110,34458.85
24-JUN-2025,25757.4,25890.85,25589.4,25631.6,673075631,47755.37
23-JUN-2025,25468.2,25615.5,25375.35,25532.95,439744556,31368.47
20-JUN-2025,25318.7,25675.3,25318.4,25648.8,996879901,80393.78
19-JUN-2025,25388.2,25446.7,25261.8,25320.45,533404277,35822.72
18-JUN-2025,25392.25,25543.9,25335.15,25398.05,407275991,30900.42
17-JUN-2025,25588.75,25591.7,25411.75,25446.7,405233559,30724.01
16-JUN-2025,25343.65,25575.35,25280.55,25556.75,493697430,32720.96
13-JUN-2025,25070.6,25361,25070.25,25331.35,554723874,37209.94
12-JUN-2025,25834,25852.55,25459.5,25511.55,601743146,42006.37
11-JUN-2025,25815.45,25892.9,25760.95,25807.1,615516929,40788.44
10-JUN-2025,25876.6,25878.8,25727.1,25785.5,563764634,43660.33
09-JUN-2025,25795.35,25800.25,25721.4,25779.45,539122924,37606.13
06-JUN-2025,25376.3,25654.75,25303.05,25638.8,680563110,45540.78
05-JUN-2025,25314.6,25507.75,25242.35,25369.75,638800924,42948.78
04-JUN-2025,25183.25,25263.2,25128.45,25240.65,597539723,34577.24
03-JUN-2025,25405.15,25461.55,25133.4,25162.05,612799190,40172.79
02-JUN-2025,25277.05,25368.05,25158.8,25333.65,590392657,35846.63
30-MAY-2025,25421.3,25471.85,25308.2,25344.25,1275005595,69731.46
29-MAY-2025,25439.75,25491.45,25296.85,25436.3,580329489,40517.75
28-MAY-2025,25450.95,25483.1,25346.1,25361.1,881497663,47733.72
27-MAY-2025,25561.7,25645.8,25319.3,25436.35,750548894,57976.88
26-MAY-2025,25527.45,25677.55,25514.55,25596.5,472546627,28954.12
23-MAY-2025,25255.05,25497.6,25225.15,25453,445247211,28701.68
22-MAY-2025,25334.8,25340.2,25073.65,25221.9,595185515,41221.86
21-MAY-2025,25307.9,25514.95,25252.9,25409.1,557738819,35347.65
20-MAY-2025,25612.85,25627.5,25231.35,25248.65,699191945,45709.83
19-MAY-2025,25594.1,25663.35,25524.5,25551.5,548601509,36379.16
16-MAY-2025,25584.25,25619.45,25511.35,25593.1,782289776,60501.85
15-MAY-2025,25228.5,25617.85,25049.5,25573.05,752827798,58017.1
14-MAY-2025,25126.1,25289.25,25059.25,25193.3,659905195,42694.37
13-MAY-2025,25333.25,25438.2,25059.5,25087.1,787567838,50045.86
12-MAY-2025,24907.2,25401.25,24880.95,25381.4,684701615,44918.25
09-MAY-2025,24303.55,24559.2,24303.55,24437.55,633197268,42180.27
08-MAY-2025,24910.4,24932.25,24548.9,24678,775376187,49992.58
07-MAY-2025,24650.55,24919.05,24644.8,24887.2,674133423,40587.63
06-MAY-2025,25050.6,25056.4,24791.3,24837.45,584725038,38527.67
05-MAY-2025,24931.8,25056.1,24915.35,25010.2,588261051,40946.04
02-MAY-2025,24822.45,25098.4,24740.3,24849.2,659622906,45635
30-APR-2025,24880.35,24940.8,24710.3,24843.8,707095853,55075.67
29-APR-2025,24929.8,25016.5,24834.35,24870.4,607321671,42906.83
28-APR-2025,24596,24903.75,24590.1,24874,548491529,39133.6
25-APR-2025,24906.1,24986.85,24383.15,24581.3,720311060,48534.73
24-APR-2025,24899.9,24968.15,24824.1,24860.9,641182108,46717.66
23-APR-2025,24950.15,24958.5,24700.25,24937,694103242,48252.64
22-APR-2025,24792.45,24855.95,24663.8,24770.45,706743327,46911.72
21-APR-2025,24533.4,24777.45,24475,24725.8,670720563,44694.58
17-APR-2025,24005.5,24444.2,23906.15,24418.35,749612220,50224.25
16-APR-2025,23935.85,24052.4,23865,24037.25,612229583,39511.54
15-APR-2025,23917.6,23946.5,23745.55,23917.4,678744806,46896.66
11-APR-2025,23280.45,23468.95,23257.75,23369.25,618306053,44260.48
09-APR-2025,23011.8,23012.4,22879,22952.45,589760099,39023.6
08-APR-2025,22992.8,23225.95,22794.2,23077.65,719150176,49193.55
07-APR-2025,22186.25,22767.2,22177.35,22677.9,998328123,65244.07
04-APR-2025,23781.75,23801.45,23375.25,23433.25,772568406,47202.24
03-APR-2025,23715.95,23874.65,23709.85,23833.3,533447312,34353.02
02-APR-2025,23742.75,23919.6,23683.9,23901.85,533770679,34184.84
01-APR-2025,23902.3,24110.6,23684.3,23713.8,568244241,41633.08
28-MAR-2025,24154.15,24220.75,23992.8,24057.35,654898782,41264.8
27-MAR-2025,23934.9,24194.75,23919.4,24145.05,1648344388,75652.01
26-MAR-2025,24188.3,24246,23958.95,23990.4,667974276,42162.25
25-MAR-2025,24326,24409.75,24097.15,24159.9,702797066,49181.89
24-MAR-2025,24075.9,24266.95,23989.8,24214.2,680194661,42480.08
21-MAR-2025,23712.5,23958.55,23681.75,23902.1,1064056805,69433.77
20-MAR-2025,23605.3,23758.2,23509.85,23730.7,612668751,40169.18
19-MAR-2025,23390.4,23503.25,23321.55,23468.35,637441906,39544.74
18-MAR-2025,23116.15,23365.05,23055.95,23340.4,591941284,38089.35
17-MAR-2025,22806.15,23029.35,22806.15,22960.8,496256980,33222.3
13-MAR-2025,23002.65,23030.45,22817,22837.85,570683655,33352.84
12-MAR-2025,22990.5,23039,22755.75,22919.9,680333308,43827.56
11-MAR-2025,22752.6,22973.6,22714.8,22942.7,704464496,40551.45
10-MAR-2025,23005.1,23155.25,22861.65,22890.75,610409670,33942.47
07-MAR-2025,23008.35,23127.3,22956.35,23027.7,577522605,31994.11
06-MAR-2025,22982.55,23053.95,22775.35,23038.8,693992528,43096.34
05-MAR-2025,22495.25,22861.45,22493.95,22818.8,658110015,40241.13
04-MAR-2025,22357.75,22535.45,22324.05,22504.9,632844944,35284.4
03-MAR-2025,22551.65,22635.3,22327.95,22514.2,702802280,39145.02
28-FEB-2025,22821.15,22839.45,22452.15,22479.45,1211818468,77266.17
27-FEB-2025,23008.95,23052.9,22911.3,22948.3,612574081,42056.01
25-FEB-2025,22993.15,23101.9,22955.75,22987.15,545872872,35847.93
24-FEB-2025,23075.45,23127.35,22985.75,23021.7,449497302,30231.28
21-FEB-2025,23359.9,23442.35,23196.7,23274.05,568973467,33990.12
20-FEB-2025,23260.25,23422.15,23253.2,23411.4,554822511,31874.3
